///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsOnlyFromHostLog.txt
// SoftRev: 1.76a5
// Date: Tue Aug 13 17:36:35 2019
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $389030761 : 17302369 : RC1AutoCleaningCountingPro : 
ECID : $389030770 : 17302372 : RC4AutoCleaningCountingPro : 
ECID : $389030789 : 17302385 : RC1AutoCleaningTotalCount : 
ECID : $389030792 : 17302388 : RC4AutoCleaningTotalCount : 
ECID : $389030913 : 17302401 : RC1AutoCleanRcpExeTiming : 
ECID : $389030916 : 17302404 : RC4AutoCleanRcpExeTiming : 
ECID : $390272087 : 17431457 : RC1AutoCleanWarnAt : 
ECID : $390272096 : 17431460 : RC4AutoCleanWarnAt : 
ECID : $392377459 : 17633473 : RC1AutoCleanAccumCount : 
ECID : $392377462 : 17633476 : RC4AutoCleanAccumCount : 
ECID : $389030935 : 17302417 : RC1AutoLinePurgeTriggerTyp : 
ECID : $389030944 : 17302420 : RC4AutoLinePurgeTriggerTyp : 
ECID : $389030963 : 17302433 : RC1AutoLinePurgeCountPro : 
ECID : $389030966 : 17302436 : RC4AutoLinePurgeCountPro : 
ECID : $389030985 : 17302449 : RC1AutoLinePurgeClnTotalCnt : 
ECID : $389030994 : 17302452 : RC4AutoLinePurgeClnTotalCnt : 
ECID : $389031013 : 17302465 : RC1AutoLinePurgeRcpExeTimng : 
ECID : $389031016 : 17302468 : RC4AutoLinePurgeRcpExeTimng : 
ECID : $390272115 : 17431473 : RC1AutoPurgeWarnAt : 
ECID : $390272118 : 17431476 : RC4AutoPurgeWarnAt : 
ECID : $390272137 : 17431489 : RC1AutoDummyTriggerType : 
ECID : $390272146 : 17431492 : RC4AutoDummyTriggerType : 
ECID : $390272261 : 17431505 : RC1AutoDummyRecipe : 
ECID : $390272264 : 17431508 : RC4AutoDummyRecipe : 
ECID : $390272289 : 17431521 : RC1AutoDummyCountPro : 
ECID : $390272292 : 17431524 : RC4AutoDummyCountPro : 
ECID : $390272311 : 17431537 : RC1AutoDummyTotalCount : 
ECID : $390272320 : 17431540 : RC4AutoDummyTotalCount : 
ECID : $390272339 : 17431553 : RC1AutoDummyRcpExeCount : 
ECID : $390272342 : 17431556 : RC4AutoDummyRcpExeCount : 
ECID : $390272361 : 17431569 : RC1AutoDummyWarnAt : 
ECID : $390272370 : 17431572 : RC4AutoDummyWarnAt : 
ECID : $390272389 : 17431585 : RC1AutoDummyWaferType : 
ECID : $390272392 : 17431588 : RC4AutoDummyWaferType : 
ECID : $390272513 : 17431601 : RC1AutoDummyWaferCount : 
ECID : $390272516 : 17431604 : RC4AutoDummyWaferCount : 
ECID : $390272535 : 17431617 : RC1AutoDummyPreRecipe : 
ECID : $390272544 : 17431620 : RC4AutoDummyPreRecipe : 
ECID : $390272563 : 17431633 : RC1AutoDummyPostRecipe : 
ECID : $390272566 : 17431636 : RC4AutoDummyPostRecipe : 
ECID : $390272585 : 17431649 : RC1AutoDummyCoolTime : 
ECID : $390272594 : 17431652 : RC4AutoDummyCoolTime : 
ECID : $390272837 : 17431745 : RC1AutoDummyLLTP : 
ECID : $390272840 : 17431748 : RC4AutoDummyLLTP : 
ECID : $390272640 : 17431680 : PJEndDelay : 
ECID : $392377480 : 17633488 : WHCCrossPressure : 
ECID : $392377481 : 17633489 : LL1CrossPressure : 
ECID : $392377488 : 17633490 : LL2CrossPressure : 
