///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromDBInfo.txt
// Version: 1.0
// Date: Wed Jun 10 19:49:56 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $010503a2 : 17105826 : RC2EtchCount7Name : 
VID : $010503a3 : 17105827 : RC3EtchCount7Name : 
VID : $010503a4 : 17105828 : RC4EtchCount7Name : 
VID : $010503b1 : 17105841 : RC1EtchCount8Name : 
VID : $010503b2 : 17105842 : RC2EtchCount8Name : 
VID : $010503b3 : 17105843 : RC3EtchCount8Name : 
VID : $010503b4 : 17105844 : RC4EtchCount8Name : 
VID : $010503c1 : 17105857 : RC1EtchCount9Name : 
VID : $010503c2 : 17105858 : RC2EtchCount9Name : 
VID : $010503c3 : 17105859 : RC3EtchCount9Name : 
VID : $010503c4 : 17105860 : RC4EtchCount9Name : 
VID : $010503d1 : 17105873 : RC1EtchCount10Name : 
VID : $010503d2 : 17105874 : RC2EtchCount10Name : 
VID : $010503d3 : 17105875 : RC3EtchCount10Name : 
VID : $010503d4 : 17105876 : RC4EtchCount10Name : 
VID : $010503e1 : 17105889 : RC1EtchCount11Name : 
VID : $010503e2 : 17105890 : RC2EtchCount11Name : 
VID : $010503e3 : 17105891 : RC3EtchCount11Name : 
VID : $010503e4 : 17105892 : RC4EtchCount11Name : 
VID : $010503f1 : 17105905 : RC1EtchCount12Name : 
VID : $010503f2 : 17105906 : RC2EtchCount12Name : 
VID : $010503f3 : 17105907 : RC3EtchCount12Name : 
VID : $010503f4 : 17105908 : RC4EtchCount12Name : 
VID : $01050401 : 17105921 : RC1EtchCount13Name : 
VID : $01050402 : 17105922 : RC2EtchCount13Name : 
VID : $01050403 : 17105923 : RC3EtchCount13Name : 
VID : $01050404 : 17105924 : RC4EtchCount13Name : 
VID : $01050411 : 17105937 : RC1EtchCount14Name : 
VID : $01050412 : 17105938 : RC2EtchCount14Name : 
VID : $01050413 : 17105939 : RC3EtchCount14Name : 
VID : $01050414 : 17105940 : RC4EtchCount14Name : 
VID : $01050421 : 17105953 : RC1EtchCount15Name : 
VID : $01050422 : 17105954 : RC2EtchCount15Name : 
VID : $01050423 : 17105955 : RC3EtchCount15Name : 
VID : $01050424 : 17105956 : RC4EtchCount15Name : 
VID : $01050431 : 17105969 : RC1EtchCount16Name : 
VID : $01050432 : 17105970 : RC2EtchCount16Name : 
VID : $01050433 : 17105971 : RC3EtchCount16Name : 
VID : $01050434 : 17105972 : RC4EtchCount16Name : 
VID : $01050441 : 17105985 : RC1EtchCount17Name : 
VID : $01050442 : 17105986 : RC2EtchCount17Name : 
VID : $01050443 : 17105987 : RC3EtchCount17Name : 
VID : $01050444 : 17105988 : RC4EtchCount17Name : 
VID : $01050451 : 17106001 : RC1EtchCount18Name : 
VID : $01050452 : 17106002 : RC2EtchCount18Name : 
VID : $01050453 : 17106003 : RC3EtchCount18Name : 
VID : $01050454 : 17106004 : RC4EtchCount18Name : 
VID : $01050461 : 17106017 : RC1EtchCount19Name : 
VID : $01050462 : 17106018 : RC2EtchCount19Name : 
VID : $01050463 : 17106019 : RC3EtchCount19Name : 
VID : $01050464 : 17106020 : RC4EtchCount19Name : 
VID : $01050471 : 17106033 : RC1EtchCount20Name : 
VID : $01050472 : 17106034 : RC2EtchCount20Name : 
VID : $01050473 : 17106035 : RC3EtchCount20Name : 
VID : $01050474 : 17106036 : RC4EtchCount20Name : 
VID : $01050481 : 17106049 : LL1WaferCount1Name : 
VID : $01050482 : 17106050 : LL2WaferCount1Name : 
VID : $01050483 : 17106051 : LL3WaferCount1Name : 
VID : $01050484 : 17106052 : LL4WaferCount1Name : 
VID : $01050491 : 17106065 : LL1WaferCount2Name : 
VID : $01050492 : 17106066 : LL2WaferCount2Name : 
VID : $01050493 : 17106067 : LL3WaferCount2Name : 
VID : $01050494 : 17106068 : LL4WaferCount2Name : 
VID : $010504a1 : 17106081 : LL1WaferCount3Name : 
VID : $010504a2 : 17106082 : LL2WaferCount3Name : 
VID : $010504a3 : 17106083 : LL3WaferCount3Name : 
VID : $010504a4 : 17106084 : LL4WaferCount3Name : 
VID : $010504b1 : 17106097 : LL1WaferCount4Name : 
VID : $010504b2 : 17106098 : LL2WaferCount4Name : 
VID : $010504b3 : 17106099 : LL3WaferCount4Name : 
VID : $010504b4 : 17106100 : LL4WaferCount4Name : 
VID : $010504c1 : 17106113 : LL1WaferCount5Name : 
VID : $010504c2 : 17106114 : LL2WaferCount5Name : 
VID : $010504c3 : 17106115 : LL3WaferCount5Name : 
VID : $010504c4 : 17106116 : LL4WaferCount5Name : 
VID : $010504d1 : 17106129 : LL1WaferCount6Name : 
VID : $010504d2 : 17106130 : LL2WaferCount6Name : 
VID : $010504d3 : 17106131 : LL3WaferCount6Name : 
VID : $010504d4 : 17106132 : LL4WaferCount6Name : 
VID : $010504e1 : 17106145 : LL1WaferCount7Name : 
VID : $010504e2 : 17106146 : LL2WaferCount7Name : 
VID : $010504e3 : 17106147 : LL3WaferCount7Name : 
VID : $010504e4 : 17106148 : LL4WaferCount7Name : 
VID : $010504f1 : 17106161 : LL1WaferCount8Name : 
VID : $010504f2 : 17106162 : LL2WaferCount8Name : 
VID : $010504f3 : 17106163 : LL3WaferCount8Name : 
VID : $010504f4 : 17106164 : LL4WaferCount8Name : 
VID : $01050501 : 17106177 : LL1WaferCount9Name : 
VID : $01050502 : 17106178 : LL2WaferCount9Name : 
VID : $01050503 : 17106179 : LL3WaferCount9Name : 
VID : $01050504 : 17106180 : LL4WaferCount9Name : 
VID : $01050511 : 17106193 : LL1WaferCount10Name : 
VID : $01050512 : 17106194 : LL2WaferCount10Name : 
VID : $01050513 : 17106195 : LL3WaferCount10Name : 
VID : $01050514 : 17106196 : LL4WaferCount10Name : 
VID : $01050521 : 17106209 : LL1WaferCount11Name : 
VID : $01050522 : 17106210 : LL2WaferCount11Name : 
VID : $01050523 : 17106211 : LL3WaferCount11Name : 
VID : $01050524 : 17106212 : LL4WaferCount11Name : 
