ECID,Description,Min Value,Max Value,Default,Unit,Result
17301746, RC2EmerALDReactorFanAutoLowerTempLimit,0,0,0, C,Pass
17301747, RC3EmerALDReactorFanAutoLowerTempLimit,0,0,0, C,Pass
17301748, RC4EmerALDReactorFanAutoLowerTempLimit,0,0,0, C,Pass
17301761, RC1EmerALDReactorFanAutoUpperTempLimit,0,0,0, C,Pass
17301762, RC2EmerALDReactorFanAutoUpperTempLimit,0,0,0, C,Pass
17301763, RC3EmerALDReactorFanAutoUpperTempLimit,0,0,0, C,Pass
17301764, RC4EmerALDReactorFanAutoUpperTempLimit,0,0,0, C,Pass
17301776, MessageLanguage,0,1,0,[ no unit ] ,Pass
17301792, BuzzerFunction,0,1,0,[ no unit ] ,Pass
17301808, EndBuzzer,0,4,0,[ no unit ] ,Pass
17301824, SystemReset,0,1,0,[ no unit ] ,Pass
17301840, RCReset,0,1,0,[ no unit ] ,Pass
17301856, WAITRecipe,0,1,0,[ no unit ] ,Pass
17301872, LLPressure,0,2,0,[ no unit ] ,Pass
17301888, CarrierStopped,0,1,0,[ no unit ] ,Pass
17301904, PJEngRecipeID,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17301920, PJMultiCreate,0,1,0,[ no unit ] ,Pass
17301936, PJSlotCheck,0,2,0,[ no unit ] ,Pass
17301952, WaferAlignerUse,0,1,0,[ no unit ] ,Pass
17301968, InitCapInSetup,0,1,0,[ no unit ] ,Pass
17301984, HandOffCap,0,1,0,[ no unit ] ,Pass
17302000, ProcessCounter,0,1,0,[ no unit ] ,Pass
17302016, PJEngRecipeRC,0,1,0,[ no unit ] ,Pass
17302032, CarrierOutTiming,0,2,0,[ no unit ] ,Pass
17302048, PJCompleteTiming,0,1,0,[ no unit ] ,Pass
17302064, RCMaintenance,0,2,0,[ no unit ] ,Pass
17302080, RCAbortProcess,0,1,0,[ no unit ] ,Pass
17302096, RCNonePJ,0,3,0,[ no unit ] ,Pass
17302112, AbortedCJ,0,2,0,[ no unit ] ,Pass
17302128, CJAbortCondition,0,2,0,[ no unit ] ,Pass
17302144, PackPostFirstLastOfNextPJ,0,2,0,[ no unit ] ,Pass
17302160, PackPostContinuousCondition,0,1,0,[ no unit ] ,Pass
17431664, LPPostProcMapCheck,0,1,0,[ no unit ] ,Pass
17302176, RBEndInitialize,0,1,0,[ no unit ] ,Pass
17302192, ResumeCleaning,0,1,0,[ no unit ] ,Pass
17302208, PMMaintenance,0,1,0,[ no unit ] ,Pass
17302224, BERBLoadArm,0,1,0,[ no unit ] ,Pass
17431056, MultiRCWafSwap,0,1,0,[ no unit ] ,Pass
17431776, LLWaferSharing,0,1,0,[ no unit ] ,Pass
17431984, CPHOPrepUnLoadMainRcp,0,1,0,[ no unit ] ,Pass
17430864, LLPreStage,0,1,0,[ no unit ] ,Pass
17430881, LL1SlotUsage,0,2,0,[ no unit ] ,Pass
17430882, LL2SlotUsage,0,2,0,[ no unit ] ,Pass
17430896, FERBUnprocessArm,0,2,0,[ no unit ] ,Pass
17430912, BERBUnprocessArm,0,2,0,[ no unit ] ,Pass
17302240, LLLoadSlot,0,1,0,[ no unit ] ,Pass
17302256, CLUnloadTiming,0,1,0,[ no unit ] ,Pass
17302272, WaferPreTransfer,0,1,0,[ no unit ] ,Pass
17302273, RC1InitialInterval,0,65535,0, min,Pass
17302274, RC2InitialInterval,0,65535,0, min,Pass
17302275, RC3InitialInterval,0,65535,0, min,Pass
17302276, RC4InitialInterval,0,65535,0, min,Pass
17302289, RC1RetryInterval,0,65535,0, min,Pass
17302290, RC2RetryInterval,0,65535,0, min,Pass
17302291, RC3RetryInterval,0,65535,0, min,Pass
17302292, RC4RetryInterval,0,65535,0, min,Pass
17302304, LLPurgePJPresent,0,1,0,[ no unit ] ,Pass
17302305, LL1InitialInterval,0,65535,0, min,Pass
17302306, LL2InitialInterval,0,65535,0, min,Pass
17302321, LL1RetryInterval,0,65535,0, min,Pass
17302322, LL2RetryInterval,0,65535,0, min,Pass
17302337, LL1Cycle,0,65535,0, min,Pass
17302338, LL2Cycle,0,65535,0, min,Pass
17431073, RC1PeriodicDummyPreName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431074, RC2PeriodicDummyPreName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431075, RC3PeriodicDummyPreName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431076, RC4PeriodicDummyPreName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431089, RC1PeriodicDummyPreEtyNo,0,8,0,[ no unit ] ,Pass
17431090, RC2PeriodicDummyPreEtyNo,0,8,0,[ no unit ] ,Pass
17431091, RC3PeriodicDummyPreEtyNo,0,8,0,[ no unit ] ,Pass
17431092, RC4PeriodicDummyPreEtyNo,0,8,0,[ no unit ] ,Pass
17431105, RC1PeriodicDummyMainName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431106, RC2PeriodicDummyMainName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431107, RC3PeriodicDummyMainName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431108, RC4PeriodicDummyMainName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431121, RC1PeriodicDummyMainEtyNo,0,8,0,[ no unit ] ,Pass
17431122, RC2PeriodicDummyMainEtyNo,0,8,0,[ no unit ] ,Pass
17431123, RC3PeriodicDummyMainEtyNo,0,8,0,[ no unit ] ,Pass
17431124, RC4PeriodicDummyMainEtyNo,0,8,0,[ no unit ] ,Pass
17431137, RC1PeriodicDummyPostName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431138, RC2PeriodicDummyPostName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431139, RC3PeriodicDummyPostName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431140, RC4PeriodicDummyPostName,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431153, RC1PeriodicDummyPostEtyNo,0,8,0,[ no unit ] ,Pass
17431154, RC2PeriodicDummyPostEtyNo,0,8,0,[ no unit ] ,Pass
17431155, RC3PeriodicDummyPostEtyNo,0,8,0,[ no unit ] ,Pass
17431156, RC4PeriodicDummyPostEtyNo,0,8,0,[ no unit ] ,Pass
17431169, RC1PeriodicDummyWaferType,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431170, RC2PeriodicDummyWaferType,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431171, RC3PeriodicDummyWaferType,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431172, RC4PeriodicDummyWaferType,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17431185, RC1PeriodicDummyInterval,0,65535,0,[ no unit ] ,Pass
17431186, RC2PeriodicDummyInterval,0,65535,0,[ no unit ] ,Pass
17431187, RC3PeriodicDummyInterval,0,65535,0,[ no unit ] ,Pass
17431188, RC4PeriodicDummyInterval,0,65535,0,[ no unit ] ,Pass
17431201, RC1PeriodicDummyWaferCount,0,25,0,[ no unit ] ,Pass
17431202, RC2PeriodicDummyWaferCount,0,25,0,[ no unit ] ,Pass
17431203, RC3PeriodicDummyWaferCount,0,25,0,[ no unit ] ,Pass
17431204, RC4PeriodicDummyWaferCount,0,25,0,[ no unit ] ,Pass
17431217, RC1PeriodicDummyCoolTime,0,65535,0,[ no unit ] ,Pass
17431218, RC2PeriodicDummyCoolTime,0,65535,0,[ no unit ] ,Pass
17431219, RC3PeriodicDummyCoolTime,0,65535,0,[ no unit ] ,Pass
17431220, RC4PeriodicDummyCoolTime,0,65535,0,[ no unit ] ,Pass
17431729, RC1PeriodicDummyLLTP,0,5,0,[ no unit ] ,Pass
17431730, RC2PeriodicDummyLLTP,0,5,0,[ no unit ] ,Pass
17431731, RC3PeriodicDummyLLTP,0,5,0,[ no unit ] ,Pass
17431732, RC4PeriodicDummyLLTP,0,5,0,[ no unit ] ,Pass
17302353, RC1AutoCleaningTriggerType,0,3,0,[ no unit ] ,Pass
17302354, RC2AutoCleaningTriggerType,0,3,0,[ no unit ] ,Pass
17302355, RC3AutoCleaningTriggerType,0,3,0,[ no unit ] ,Pass
17302356, RC4AutoCleaningTriggerType,0,3,0,[ no unit ] ,Pass
17302369, RC1AutoCleaningCountingPro,0,1,0,[ no unit ] ,Pass
17302370, RC2AutoCleaningCountingPro,0,1,0,[ no unit ] ,Pass
17302371, RC3AutoCleaningCountingPro,0,1,0,[ no unit ] ,Pass
17302372, RC4AutoCleaningCountingPro,0,1,0,[ no unit ] ,Pass
17302385, RC1AutoCleaningTotalCount,0,999999999,0,[ no unit ] ,Pass
17302386, RC2AutoCleaningTotalCount,0,999999999,0,[ no unit ] ,Pass
17302387, RC3AutoCleaningTotalCount,0,999999999,0,[ no unit ] ,Pass
17302388, RC4AutoCleaningTotalCount,0,999999999,0,[ no unit ] ,Pass
17302401, RC1AutoCleanRcpExeTiming,0,999999999,0,[ no unit ] ,Pass
17302402, RC2AutoCleanRcpExeTiming,0,999999999,0,[ no unit ] ,Pass
17302403, RC3AutoCleanRcpExeTiming,0,999999999,0,[ no unit ] ,Pass
17302404, RC4AutoCleanRcpExeTiming,0,999999999,0,[ no unit ] ,Pass
17431457, RC1AutoCleanWarnAt,0,999999999,0,[ no unit ] ,Pass
17431458, RC2AutoCleanWarnAt,0,999999999,0,[ no unit ] ,Pass
17431459, RC3AutoCleanWarnAt,0,999999999,0,[ no unit ] ,Pass
17431460, RC4AutoCleanWarnAt,0,999999999,0,[ no unit ] ,Pass
17633473, RC1AutoCleanAccumCount,0,999999999,0,[ no unit ] ,Pass
17633474, RC2AutoCleanAccumCount,0,999999999,0,[ no unit ] ,Pass
17633475, RC3AutoCleanAccumCount,0,999999999,0,[ no unit ] ,Pass
17633476, RC4AutoCleanAccumCount,0,999999999,0,[ no unit ] ,Pass
17302417, RC1AutoLinePurgeTriggerTyp,0,3,0,[ no unit ] ,Pass
17302418, RC2AutoLinePurgeTriggerTyp,0,3,0,[ no unit ] ,Pass
17302419, RC3AutoLinePurgeTriggerTyp,0,3,0,[ no unit ] ,Pass
17302420, RC4AutoLinePurgeTriggerTyp,0,3,0,[ no unit ] ,Pass
17302433, RC1AutoLinePurgeCountPro,0,1,0,[ no unit ] ,Pass
17302434, RC2AutoLinePurgeCountPro,0,1,0,[ no unit ] ,Pass
17302435, RC3AutoLinePurgeCountPro,0,1,0,[ no unit ] ,Pass
17302436, RC4AutoLinePurgeCountPro,0,1,0,[ no unit ] ,Pass
17302449, RC1AutoLinePurgeClnTotalCnt,0,999999999,0,[ no unit ] ,Pass
17302450, RC2AutoLinePurgeClnTotalCnt,0,999999999,0,[ no unit ] ,Pass
17302451, RC3AutoLinePurgeClnTotalCnt,0,999999999,0,[ no unit ] ,Pass
17302452, RC4AutoLinePurgeClnTotalCnt,0,999999999,0,[ no unit ] ,Pass
17302465, RC1AutoLinePurgeRcpExeTimng,0,999999999,0,[ no unit ] ,Pass
17302466, RC2AutoLinePurgeRcpExeTimng,0,999999999,0,[ no unit ] ,Pass
